start 11/10/2021 15:22:53.86 
1 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
1 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
2 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
2 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
3 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
3 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
4 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
4 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
5 a5 b6 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
6 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
7 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
7 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
8 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
8 b9 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
9 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
10 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
10 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
11 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
11 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
12 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
12 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
13 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
13 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
14 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
14 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
15 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
15 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
16 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
16 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
17 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
17 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
18 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
18 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
19 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
19 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
20 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
20 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
